Metric,Mar 2016,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,1,214,275,327,260,408,538,720,943,"1,208"
Expenses+,1,136,180,213,185,230,296,400,514,636
Operating Profit,0,78,95,114,75,178,242,320,429,572
OPM %,26%,36%,35%,35%,29%,44%,45%,44%,45%,47%
Other Income+,0,6,6,1,2,1,0,0,1,0
Interest,0,9,3,3,3,2,4,6,11,16
Depreciation,0,4,4,16,12,11,12,14,20,29
Profit before tax,0,71,94,96,62,166,226,300,398,527
Tax %,21%,29%,30%,26%,29%,24%,26%,26%,26%,26%
Net Profit+,0,50,65,71,44,125,168,221,295,391
EPS in Rs,2.00,9.36,6.06,6.59,4.02,7.54,10.08,13.23,17.80,23.58
Dividend Payout %,0%,0%,0%,0%,31%,36%,30%,26%,39%,28%
