Metric,Mar 201515m,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,"2,694","2,423","2,474","2,634","2,931","3,056","1,708","2,388","3,452","3,479","3,489","3,516"
Expenses+,"2,343","2,129","2,178","2,271","2,441","2,210","1,540","1,960","2,647","2,682","2,736","2,809"
Operating Profit,351,294,296,364,490,846,169,427,804,797,753,707
OPM %,13%,12%,12%,14%,17%,28%,10%,18%,23%,23%,22%,20%
Other Income+,75,97,18,49,66,66,87,54,39,19,186,30
Interest,18,16,15,15,14,129,108,99,118,126,141,135
Depreciation,79,79,65,60,64,296,265,242,295,339,371,420
Profit before tax,329,297,234,337,478,487,-117,140,430,351,426,182
Tax %,30%,27%,32%,35%,31%,32%,-23%,26%,25%,25%,22%,26%
Net Profit+,231,217,159,221,329,329,-89,103,323,263,331,134
EPS in Rs,18.00,16.91,12.37,17.16,25.60,25.59,-6.95,8.01,25.13,20.42,25.73,10.44
Dividend Payout %,18%,21%,28%,23%,24%,16%,-58%,680%,54%,59%,74%,86%
