Metric,Mar 2018,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,"2,857","3,828","4,007","4,897","5,395","6,033","6,594","7,528"
Expenses+,"2,542","3,289","3,438","4,170","4,597","5,189","5,679","6,476"
Operating Profit,316,539,569,728,798,843,915,"1,053"
OPM %,11%,14%,14%,15%,15%,14%,14%,14%
Other Income+,156,36,28,25,38,62,65,90
Interest,111,163,197,215,217,227,228,160
Depreciation,120,177,206,245,306,321,329,344
Profit before tax,240,234,194,293,313,358,423,638
Tax %,15%,2%,10%,16%,13%,17%,21%,25%
Net Profit+,205,230,175,247,271,295,332,478
EPS in Rs,,,,,,4.54,5.11,5.38
Dividend Payout %,0%,0%,0%,0%,0%,0%,11%,10%
