Metric,Mar 2015,Dec 20159m,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,Dec 2021,Dec 2022,Dec 2023,Dec 2024,Dec 2025,TTM
Sales+,"5,570","4,001","5,320","6,428","8,032","7,908","6,050","6,765","8,753","9,280","8,964","9,406","9,746"
Expenses+,"5,128","3,638","4,789","5,622","7,031","6,940","5,548","5,823","7,581","7,856","7,613","8,044","8,317"
Operating Profit,442,363,531,806,"1,001",968,502,942,"1,172","1,424","1,351","1,362","1,429"
OPM %,8%,9%,10%,13%,12%,12%,8%,14%,13%,15%,15%,14%,15%
Other Income+,-183,-49,22,20,39,28,55,32,-749,409,150,109,102
Interest,121,50,59,51,50,52,55,35,23,107,78,27,23
Depreciation,238,163,232,268,287,316,306,273,296,322,331,358,366
Profit before tax,-100,101,262,507,702,628,195,666,104,"1,403","1,092","1,087","1,142"
Tax %,-22%,24%,35%,29%,29%,44%,45%,41%,231%,20%,24%,24%,
Net Profit+,-78,77,169,358,498,354,106,393,-136,"1,125",828,828,871
EPS in Rs,-2.42,2.37,4.47,9.47,13.15,9.33,2.81,10.37,-3.59,29.66,21.81,21.83,22.97
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,24%,-70%,17%,32%,32%,
