Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Revenue+,"34,439","37,106","38,938","40,865","42,607","44,582","46,326","47,037","48,387","49,080","48,181","48,364","49,594"
Interest,"14,479","16,368","17,908","19,409","20,424","21,122","22,225","22,633","23,047","23,090","22,017","21,874","22,047"
Expenses+,"25,959","21,402","24,560","24,929","30,604","29,387","32,221","33,510","37,588","31,991","35,065","37,154","41,823"
Financing Profit,"-6,000",-663,"-3,530","-3,473","-8,421","-5,927","-8,120","-9,106","-12,248","-6,002","-8,901","-10,664","-14,276"
Financing Margin %,-17%,-2%,-9%,-8%,-20%,-13%,-18%,-19%,-25%,-12%,-18%,-22%,-29%
Other Income+,"19,735","15,229","18,690","18,615","24,575","22,688","26,617","27,589","31,361","25,496","27,966","28,418","35,020"
Depreciation,0,0,0,0,0,0,0,0,0,0,0,0,0
Profit before tax,"13,735","14,566","15,160","15,142","16,154","16,761","18,496","18,483","19,113","19,494","19,065","17,754","20,744"
Tax %,25%,24%,25%,26%,26%,26%,25%,25%,25%,26%,25%,24%,25%
Net Profit+,"10,236","11,014","11,351","11,515","12,200","12,463","13,906","13,847","14,354","14,456","14,318","13,481","15,681"
EPS in Rs,14.11,15.20,15.56,15.76,16.62,16.62,18.38,18.25,18.96,19.00,18.70,17.53,20.61
Gross NPA %,,,,,,,,,,,,,
Net NPA %,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,
