Metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,3,-105,349,303,149,45,638,806,949
Expenses+,0,16,28,82,7,-4,94,174,181
Operating Profit,3,-121,322,221,141,49,544,632,768
OPM %,94%,,92%,73%,95%,110%,85%,78%,81%
Other Income+,0,0,0,8,35,0,0,33,20
Interest,1,248,128,111,0,0,10,0,0
Depreciation,0,0,0,0,0,0,12,12,13
Profit before tax,2,-369,194,118,177,49,521,653,774
Tax %,-15%,9%,-19%,-4%,5%,37%,27%,16%,12%
Net Profit+,2,-402,230,123,168,31,382,549,681
EPS in Rs,,,,,,,0.60,0.86,1.07
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,58%,56%
