Metric,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"6,114","4,396","7,448","6,263","6,174","4,114","8,054"
Expenses+,"5,357","4,055","6,400","5,547","5,626","3,918","7,108"
Operating Profit,757,340,"1,048",716,548,196,945
OPM %,12%,8%,14%,11%,9%,5%,12%
Other Income+,67,79,67,74,80,76,101
Interest,7,9,9,8,9,9,14
Depreciation,97,90,97,90,93,111,102
Profit before tax,720,321,"1,010",692,525,152,931
Tax %,26%,27%,25%,26%,26%,41%,26%
Net Profit+,536,233,755,513,389,90,693
EPS in Rs,,3.44,11.12,7.56,5.74,1.32,10.21
Raw PDF,,,,,,,
