Metric,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2025,Mar 2026
Sales+,"14,282","18,183","30,270","29,857","28,499","31,561","30,240","19,173","12,027","12,729","34,157","40,170"
Expenses+,"13,921","17,619","29,545","29,103","27,890","30,938","30,127","19,928","17,134","12,652","32,201","38,417"
Operating Profit,361,564,725,755,609,623,114,-755,"-5,107",77,"1,956","1,753"
OPM %,3%,3%,2%,3%,2%,2%,0%,-4%,-42%,1%,6%,4%
Other Income+,207,189,343,448,320,252,99,150,36,116,132,-21
Interest,186,291,722,676,712,613,"1,439",972,971,143,95,130
Depreciation,100,124,150,166,177,160,167,159,143,138,268,248
Profit before tax,281,338,196,361,40,102,"-1,393","-1,736","-6,186",-88,"1,726","1,354"
Tax %,37%,31%,55%,21%,98%,24%,-6%,-22%,-7%,0%,25%,-34%
Net Profit+,178,234,88,283,0,73,"-1,274","-1,363","-5,755",-88,"1,301","1,814"
EPS in Rs,2.22,2.26,0.87,2.73,0.00,0.80,-12.71,-13.09,-56.25,-0.10,11.97,16.68
Dividend Payout %,9%,7%,12%,4%,"3,144%",7%,-0%,0%,0%,0%,28%,21%
