Metric,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025
Revenue+,292,329,358,375,411,445,488,507,488,471,495,520,544
Interest,108,119,133,154,165,174,195,207,220,226,248,261,267
Expenses+,186,194,212,205,221,255,271,287,270,352,309,299,310
Financing Profit,-2,16,12,16,24,15,23,13,-2,-107,-62,-41,-33
Financing Margin %,-1%,5%,3%,4%,6%,3%,5%,2%,-0%,-23%,-12%,-8%,-6%
Other Income+,26,34,51,52,52,65,70,47,40,60,109,80,81
Depreciation,0,0,0,0,0,0,0,0,0,0,0,0,0
Profit before tax,24,50,63,68,76,80,93,60,38,-47,47,39,48
Tax %,23%,23%,25%,26%,25%,24%,24%,25%,12%,-28%,25%,23%,24%
Net Profit+,18,39,48,50,57,61,70,45,33,-34,35,30,37
EPS in Rs,1.70,3.67,4.48,4.74,5.39,5.73,6.59,4.27,3.13,-3.18,3.32,2.86,3.44
Gross NPA %,4.23%,3.13%,3.04%,2.90%,3.06%,2.94%,2.84%,3.03%,5.53%,7.16%,8.46%,5.93%,6.69%
Net NPA %,2.74%,1.55%,1.63%,1.46%,1.42%,0.86%,0.47%,0.80%,3.13%,4.58%,5.64%,3.80%,4.35%
Raw PDF,,,,,,,,,,,,,
